State,County,Year,Observed
Arkansas,Phillips County,2002,37.8
Arkansas,Pike County,2002,35.2
Arkansas,Poinsett County,2002,33.6
Arkansas,Polk County,2002,34.9
Arkansas,Pope County,2002,40.3
Arkansas,Prairie County,2002,36.6
Arkansas,Pulaski County,2002,51.6
Arkansas,Randolph County,2002,34.9
Arkansas,Saline County,2002,45.3
Arkansas,Scott County,2002,32.4
Arkansas,Searcy County,2002,34.7
Arkansas,Sebastian County,2002,42.4
Arkansas,Sevier County,2002,32.0
Arkansas,Sharp County,2002,36.3
Arkansas,St. Francis County,2002,34.0
Arkansas,Stone County,2002,33.8
Arkansas,Union County,2002,38.0
Arkansas,Van Buren County,2002,39.2
Arkansas,Washington County,2002,50.1
Arkansas,White County,2002,34.7
Arkansas,Woodruff County,2002,32.7
Arkansas,Yell County,2002,34.1
California,Alameda County,2002,60.7
California,Alpine County,2002,44.4
California,Amador County,2002,63.0
California,Butte County,2002,57.9
California,Calaveras County,2002,65.0
California,California,2002,58.0
California,Colusa County,2002,53.7
California,Contra Costa County,2002,64.4
California,Del Norte County,2002,50.5
California,El Dorado County,2002,66.7
California,Fresno County,2002,49.1
California,Glenn County,2002,52.5
California,Humboldt County,2002,59.8
California,Imperial County,2002,45.3
California,Inyo County,2002,60.9
California,Kern County,2002,50.1
California,Kings County,2002,47.8
California,Lake County,2002,57.9
California,Lassen County,2002,56.9
California,Los Angeles County,2002,54.1
California,Madera County,2002,50.0
California,Marin County,2002,74.4
California,Mariposa County,2002,62.7
California,Mendocino County,2002,60.1
California,Merced County,2002,50.4
California,Modoc County,2002,56.1
California,Mono County,2002,67.3
California,Monterey County,2002,55.9
California,Napa County,2002,65.2
California,Nevada County,2002,68.2
California,Orange County,2002,61.1
California,Placer County,2002,65.3
California,Plumas County,2002,63.0
California,Riverside County,2002,56.5
California,Sacramento County,2002,57.9
California,San Benito County,2002,57.3
California,San Bernardino County,2002,52.8
California,San Diego County,2002,62.0
California,San Francisco County,2002,63.5
California,San Joaquin County,2002,54.3
California,San Luis Obispo County,2002,65.3
California,San Mateo County,2002,64.7
California,Santa Barbara County,2002,63.1
California,Santa Clara County,2002,60.1
California,Santa Cruz County,2002,67.9
California,Shasta County,2002,59.3
California,Sierra County,2002,55.0
California,Siskiyou County,2002,58.0
California,Solano County,2002,59.8
California,Sonoma County,2002,68.1
California,Stanislaus County,2002,52.0
California,Sutter County,2002,52.9
California,Tehama County,2002,55.7
California,Trinity County,2002,58.4
California,Tulare County,2002,46.7
California,Tuolumne County,2002,61.8
California,Ventura County,2002,62.4
California,Yolo County,2002,62.9
California,Yuba County,2002,52.6
Colorado,"Adams County, Boulder County, Broomfield County, Jefferson County, Weld County",2002,66.6
Colorado,Alamosa County,2002,51.6
Colorado,Arapahoe County,2002,67.2
Colorado,Archuleta County,2002,68.1
Colorado,Baca County,2002,51.7
Colorado,Bent County,2002,55.4
Colorado,Chaffee County,2002,63.2
Colorado,Cheyenne County,2002,61.0
Colorado,Clear Creek County,2002,74.7
Colorado,Colorado,2002,65.7
Colorado,Conejos County,2002,39.8
Colorado,Costilla County,2002,49.9
Colorado,Crowley County,2002,48.1
Colorado,Custer County,2002,67.9
Colorado,Delta County,2002,59.2
Colorado,Denver County,2002,65.8
Colorado,Dolores County,2002,64.1
Colorado,Douglas County,2002,73.8
Colorado,Eagle County,2002,75.9
Colorado,El Paso County,2002,62.7
Colorado,Elbert County,2002,63.6
Colorado,Fremont County,2002,57.9
Colorado,Garfield County,2002,67.4
Colorado,Gilpin County,2002,73.1
Colorado,Grand County,2002,74.4
Colorado,Gunnison County,2002,72.4
Colorado,Hinsdale County,2002,69.8
Colorado,Huerfano County,2002,59.5
Colorado,Jackson County,2002,69.8
Colorado,Kiowa County,2002,51.7
Colorado,Kit Carson County,2002,54.6
Colorado,La Plata County,2002,71.8
Colorado,Lake County,2002,66.0
Colorado,Larimer County,2002,70.1
Colorado,Las Animas County,2002,56.1
Colorado,Lincoln County,2002,57.6
Colorado,Logan County,2002,58.5
Colorado,Mesa County,2002,62.7
Colorado,Mineral County,2002,61.7
Colorado,Moffat County,2002,57.8
Colorado,Montezuma County,2002,59.1
Colorado,Montrose County,2002,60.1
Colorado,Morgan County,2002,53.4
Colorado,Otero County,2002,52.3
Colorado,Ouray County,2002,68.0
Colorado,Park County,2002,69.3
Colorado,Phillips County,2002,55.5
Colorado,Pitkin County,2002,81.2
Colorado,Prowers County,2002,51.5
Colorado,Pueblo County,2002,57.8
Colorado,Rio Blanco County,2002,60.1
Colorado,Rio Grande County,2002,56.5
Colorado,Routt County,2002,77.6
Colorado,Saguache County,2002,52.5
Colorado,San Juan County,2002,66.1
Colorado,San Miguel County,2002,72.3
Colorado,Sedgwick County,2002,56.0
Colorado,Summit County,2002,81.6
Colorado,Teller County,2002,66.4
Colorado,Washington County,2002,58.6
Colorado,Yuma County,2002,57.8
Connecticut,Connecticut,2002,66.2
Connecticut,Fairfield County,2002,69.1
Connecticut,Hartford County,2002,64.8
Connecticut,Litchfield County,2002,68.8
Connecticut,Middlesex County,2002,69.4
Connecticut,New Haven County,2002,63.9
Connecticut,New London County,2002,65.9
Connecticut,Tolland County,2002,68.5
Connecticut,Windham County,2002,60.8
Delaware,Delaware,2002,57.7
Delaware,Kent County,2002,50.5
Delaware,New Castle County,2002,60.6
Delaware,Sussex County,2002,54.4
District Of Columbia,District Of Columbia,2002,61.9
District Of Columbia,District of Columbia,2002,61.9
Florida,Alachua County,2002,57.6
Florida,Baker County,2002,37.7
Florida,Bay County,2002,50.3
Florida,Bradford County,2002,36.1
Florida,Brevard County,2002,62.4
Florida,Broward County,2002,58.7
Florida,Calhoun County,2002,34.7
Florida,Charlotte County,2002,63.6
Florida,Citrus County,2002,57.8
Florida,Clay County,2002,55.1
Florida,Collier County,2002,67.7
Florida,Columbia County,2002,43.3
Florida,DeSoto County,2002,42.1
Florida,Dixie County,2002,38.9
Florida,Duval County,2002,53.1
Florida,Escambia County,2002,49.6
Florida,Flagler County,2002,65.1
Florida,Florida,2002,57.6
Florida,Franklin County,2002,50.2
Florida,Gadsden County,2002,39.4
Florida,Gilchrist County,2002,38.7
Florida,Glades County,2002,46.0
Florida,Gulf County,2002,43.0
Florida,Hamilton County,2002,36.6
Florida,Hardee County,2002,35.4
Florida,Hendry County,2002,43.4
Florida,Hernando County,2002,58.1
Florida,Highlands County,2002,51.6
Florida,Hillsborough County,2002,57.0
Florida,Holmes County,2002,33.3
Florida,Indian River County,2002,64.9
Florida,Jackson County,2002,38.4
Florida,Jefferson County,2002,44.3
Florida,Lafayette County,2002,33.4
Florida,Lake County,2002,56.8
Florida,Lee County,2002,63.8
Florida,Leon County,2002,58.0
Florida,Levy County,2002,45.9
Florida,Liberty County,2002,29.7
Florida,Madison County,2002,36.4
Florida,Manatee County,2002,60.8
Florida,Marion County,2002,53.9
Florida,Martin County,2002,68.3
Florida,Miami-Dade County,2002,52.6
Florida,Monroe County,2002,69.9
Florida,Nassau County,2002,51.4
Florida,Okaloosa County,2002,57.1
Florida,Okeechobee County,2002,46.5
Florida,Orange County,2002,56.2
Florida,Osceola County,2002,48.6
Florida,Palm Beach County,2002,63.1
Florida,Pasco County,2002,58.9
Florida,Pinellas County,2002,64.4
Florida,Polk County,2002,51.1
Florida,Putnam County,2002,45.0
Florida,Santa Rosa County,2002,54.4
Florida,Sarasota County,2002,68.1
Florida,Seminole County,2002,60.7
Florida,St. Johns County,2002,67.8
Florida,St. Lucie County,2002,60.0
Florida,Sumter County,2002,54.5
Florida,Suwannee County,2002,39.0
Florida,Taylor County,2002,39.9
Florida,Union County,2002,33.8
Florida,Volusia County,2002,60.5
Florida,Wakulla County,2002,48.1
Florida,Walton County,2002,49.3
Florida,Washington County,2002,35.4
Georgia,Appling County,2002,27.0
Georgia,Atkinson County,2002,27.4
Georgia,Bacon County,2002,28.6
Georgia,Baker County,2002,35.2
Georgia,Baldwin County,2002,44.0
Georgia,Banks County,2002,30.7
Georgia,Barrow County,2002,43.3
Georgia,Bartow County,2002,40.1
Georgia,Ben Hill County,2002,35.1
Georgia,Berrien County,2002,37.8
Georgia,Bibb County,2002,45.4
Georgia,Bleckley County,2002,32.0
Georgia,Brantley County,2002,28.8
Georgia,Brooks County,2002,37.1
Georgia,Bryan County,2002,49.1
Georgia,Bulloch County,2002,44.4
Georgia,Burke County,2002,36.5
Georgia,Butts County,2002,37.8
Georgia,Calhoun County,2002,31.4
Georgia,Camden County,2002,47.8
Georgia,Candler County,2002,35.0
Georgia,Carroll County,2002,40.4
Georgia,Catoosa County,2002,33.4
Georgia,Charlton County,2002,32.5
Georgia,Chatham County,2002,53.0
Georgia,Chattahoochee County,2002,42.0
Georgia,Chattooga County,2002,33.0
Georgia,Cherokee County,2002,53.0
Georgia,Clarke County,2002,55.4
Georgia,Clay County,2002,37.6
Georgia,Clayton County,2002,45.6
Georgia,Clinch County,2002,33.9
Georgia,Cobb County,2002,58.2
Georgia,Coffee County,2002,30.3
Georgia,Colquitt County,2002,34.9
Georgia,Columbia County,2002,50.8
Georgia,Cook County,2002,36.1
Georgia,Coweta County,2002,48.2
Georgia,Crawford County,2002,38.3
Georgia,Crisp County,2002,37.6
Georgia,Dade County,2002,34.8
Georgia,Dawson County,2002,42.7
Georgia,Decatur County,2002,37.1
Georgia,DeKalb County,2002,56.4
Georgia,Dodge County,2002,28.3
Georgia,Dooly County,2002,32.4
Georgia,Dougherty County,2002,44.3
Georgia,Douglas County,2002,46.5
Georgia,Early County,2002,36.9
