year,state,avg_alcohol_consumption,bigfoot_sightings
2005.0,WEST VIRGINIA,33.61607142857143,8
2005.0,WISCONSIN,67.91369863013698,1
2005.0,WYOMING,58.324999999999996,1
2006.0,ALABAMA,35.213235294117645,1
2006.0,ARIZONA,51.86875,9
2006.0,ARKANSAS,38.88157894736842,2
2006.0,CALIFORNIA,58.167796610169496,13
2006.0,COLORADO,62.18524590163935,3
2006.0,FLORIDA,51.29264705882353,18
2006.0,GEORGIA,39.766875,8
2006.0,IDAHO,47.31555555555555,5
2006.0,ILLINOIS,53.2757281553398,9
2006.0,INDIANA,49.08924731182796,5
2006.0,IOWA,58.77,3
2006.0,KENTUCKY,28.15289256198347,4
2006.0,MARYLAND,57.263999999999996,1
2006.0,MASSACHUSETTS,66.08666666666667,1
2006.0,MICHIGAN,59.30595238095238,9
2006.0,MINNESOTA,62.22159090909091,3
2006.0,MISSISSIPPI,35.44578313253012,1
2006.0,MISSOURI,46.95603448275862,4
2006.0,MONTANA,59.847368421052636,3
2006.0,NEBRASKA,57.45106382978723,1
2006.0,NEW JERSEY,60.595454545454544,4
2006.0,NEW MEXICO,49.58529411764706,1
2006.0,NEW YORK,60.74603174603175,2
2006.0,NORTH CAROLINA,41.51485148514851,2
2006.0,OHIO,52.03820224719101,3
2006.0,OREGON,57.22702702702703,5
2006.0,PENNSYLVANIA,56.06617647058823,2
2006.0,RHODE ISLAND,67.76666666666667,1
2006.0,SOUTH CAROLINA,43.41063829787234,2
2006.0,SOUTH DAKOTA,57.19850746268657,2
2006.0,TENNESSEE,28.629166666666666,5
2006.0,TEXAS,44.30666666666667,7
2006.0,UTAH,27.90666666666667,4
2006.0,VIRGINIA,48.143846153846155,1
2006.0,WASHINGTON,57.19500000000001,21
2006.0,WEST VIRGINIA,33.80357142857143,6
2006.0,WISCONSIN,67.86986301369863,2
2007.0,ALABAMA,36.07941176470588,4
2007.0,ARIZONA,52.2,6
2007.0,ARKANSAS,39.580263157894734,1
2007.0,CALIFORNIA,58.60508474576271,13
2007.0,FLORIDA,51.24411764705882,12
2007.0,GEORGIA,40.489375,8
2007.0,IDAHO,47.757777777777775,3
2007.0,ILLINOIS,54.007766990291266,5
2007.0,IOWA,58.92100000000001,3
2007.0,KENTUCKY,29.7900826446281,3
2007.0,MICHIGAN,59.858333333333334,4
2007.0,MINNESOTA,62.08636363636364,3
2007.0,MISSOURI,47.3551724137931,2
2007.0,MONTANA,60.56666666666667,2
2007.0,NEW JERSEY,61.16363636363636,3
2007.0,NEW YORK,61.40952380952381,1
2007.0,NORTH CAROLINA,42.85643564356435,1
2007.0,OHIO,52.36966292134831,3
2007.0,OKLAHOMA,41.20128205128205,1
2007.0,PENNSYLVANIA,56.54558823529412,4
2007.0,SOUTH CAROLINA,44.182978723404254,5
2007.0,TENNESSEE,30.05,3
2007.0,TEXAS,45.23254901960784,3
2007.0,UTAH,28.153333333333332,3
2007.0,VIRGINIA,48.70384615384615,4
2007.0,WASHINGTON,57.565,10
2007.0,WEST VIRGINIA,34.34464285714286,9
2007.0,WISCONSIN,68.3890410958904,2
2007.0,WYOMING,59.39166666666667,1
2008.0,ALABAMA,36.942647058823525,3
2008.0,ALASKA,52.041666666666664,2
2008.0,ARIZONA,52.55,5
2008.0,ARKANSAS,40.39342105263158,1
2008.0,CALIFORNIA,57.51864406779661,9
2008.0,COLORADO,62.7655737704918,4
2008.0,FLORIDA,50.15882352941177,10
2008.0,GEORGIA,39.768125,2
2008.0,IDAHO,47.715555555555554,2
2008.0,ILLINOIS,54.2883495145631,14
2008.0,INDIANA,49.97741935483871,4
2008.0,IOWA,59.906000000000006,1
2008.0,KANSAS,50.387735849056604,2
2008.0,KENTUCKY,33.075206611570245,4
2008.0,MARYLAND,57.976000000000006,1
2008.0,MASSACHUSETTS,67.08,1
2008.0,MICHIGAN,59.56428571428571,6
2008.0,MINNESOTA,63.13977272727273,2
